"@timestamp","src_ip",realm,"auth_user","response_code","http_method","bytes_from_client","bytes_to_client","media_type",url
"Jan 17, 2021 @ 20:50:49.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"9,221",400,"text/html","http://detectportal.firefox.com/canonical.html"
"Jan 17, 2021 @ 20:50:49.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"9,223",318,"text/plain","http://detectportal.firefox.com/success.txt?ipv4"
"Jan 17, 2021 @ 20:50:49.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,354,318,"text/plain","http://detectportal.firefox.com/success.txt?ipv4"
"Jan 17, 2021 @ 18:01:11.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,141,"3,079",,"https://armmf.adobe.com/arm-manifests/win/Acrobat10Manifest3.msi"
"Jan 17, 2021 @ 15:47:38.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"1,354","1,207",,"api.kontur.ru:443"
"Jan 17, 2021 @ 15:46:28.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,"1,793",277,,"https://metrika.kontur.ru/track-event?c=state&a=stopPolling&fp=73f522a52ff8656da6bcd42b672988dc&cv=%7B%22integrationId%22%3A%22KE-web%22%2C%22segment%22%3A%22notEmpty%22%2C%22segmentKey%22%3A%22ke-corp-segment%22%2C%22hasFeatureSegment%22%3Atrue%7D&ts=31.01.2023%2018%3A46%3A28%20GMT%2B03%3A00&id=70&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2FAllForms%2Fnew_forms%2Fnew_candyform.aspx%3Fgfv%3D113104%26abonId%3D577100cf-a2c9-482e-918b-ad59e9497651%26userId%3D577100cf-a2c9-482e-918b-ad59e9497651%26orgId%3D03f93c7c-2265-4215-b86f-bf0e17e60035%26keDraftId%3D577100cf-a2c9-482e-918b-ad59e9497651__4b4242a2-b528-4882-8c60-f7715e39d363%26externalInitSectionPath%3D%26source%3D&urlref=https%3A%2F%2Fextern.kontur.ru%2Freact%2Findex%2F&ei=30&vs=0&vt=25896&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 15:46:21.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"1,851","3,281",,"api.kontur.ru:443"
"Jan 17, 2021 @ 15:40:41.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"1,583","2,244",,"api.kontur.ru:443"
"Jan 17, 2021 @ 15:26:15.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"2,158","4,371",,"api.kontur.ru:443"
"Jan 17, 2021 @ 15:11:47.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"2,387","5,378",,"api.kontur.ru:443"
"Jan 17, 2021 @ 15:02:01.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"2,175","10,188",,"api.kontur.ru:443"
"Jan 17, 2021 @ 14:40:06.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"2,443","11,264",,"api.kontur.ru:443"
"Jan 17, 2021 @ 14:31:08.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,141,"3,079",,"https://armmf.adobe.com/arm-manifests/win/Acrobat10Manifest3.msi"
"Jan 17, 2021 @ 14:28:12.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"2,577","6,350",,"api.kontur.ru:443"
"Jan 17, 2021 @ 14:13:34.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"1,946","9,212",,"api.kontur.ru:443"
"Jan 17, 2021 @ 14:05:43.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"5,678","30,098",,"api.kontur.ru:443"
"Jan 17, 2021 @ 13:27:10.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"2,119","14,128",,"api.kontur.ru:443"
"Jan 17, 2021 @ 05:47:26.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,635,146,"image/gif","https://mc.yandex.ru/webvisor/88760737?wmode=0&wv-part=24963&wv-hit=935822213&page-url=https%3A%2F%2Fxn----7sbahhggakerncjk7a.xn--p1ai%2Finfrastruktura%2F&rn=1064751165&wv-type=3&browser-info=bt%3A1%3Awe%3A1%3Aet%3A1674798443%3Aw%3A1515x713%3Av%3A960%3Az%3A180%3Ai%3A20230127084726%3Au%3A1674631791114645603%3Avf%3Asm0eap24hzlr84c06sesn%3Ast%3A1674798443&t=gdpr(14)ti(2)"
"Jan 17, 2021 @ 05:47:23.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,634,146,"image/gif","https://mc.yandex.ru/webvisor/88760737?wmode=0&wv-part=24962&wv-hit=935822213&page-url=https%3A%2F%2Fxn----7sbahhggakerncjk7a.xn--p1ai%2Finfrastruktura%2F&rn=854635956&wv-type=3&browser-info=bt%3A1%3Awe%3A1%3Aet%3A1674798440%3Aw%3A1515x713%3Av%3A960%3Az%3A180%3Ai%3A20230127084723%3Au%3A1674631791114645603%3Avf%3Asm0eap24hzlr84c06sesn%3Ast%3A1674798440&t=gdpr(14)ti(2)"
"Jan 17, 2021 @ 05:47:19.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,POST,833,146,"image/gif","https://mc.yandex.ru/webvisor/88760737?wmode=0&wv-part=24961&wv-hit=935822213&page-url=https%3A%2F%2Fxn----7sbahhggakerncjk7a.xn--p1ai%2Finfrastruktura%2F&rn=602189453&wv-type=3&browser-info=bt%3A1%3Awe%3A1%3Aet%3A1674798436%3Aw%3A1515x713%3Av%3A960%3Az%3A180%3Ai%3A20230127084719%3Au%3A1674631791114645603%3Avf%3Asm0eap24hzlr84c06sesn%3Ast%3A1674798436&t=gdpr(14)ti(2)"
"Jan 17, 2021 @ 11:01:10.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,141,"3,079",,"https://armmf.adobe.com/arm-manifests/win/Acrobat10Manifest3.msi"
"Jan 17, 2021 @ 09:26:11.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"3,188","33,839",,"api.kontur.ru:443"
"Jan 17, 2021 @ 09:25:15.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,"1,792",281,,"https://metrika.kontur.ru/track-event?c=state&a=stopPolling&fp=73f522a52ff8656da6bcd42b672988dc&cv=%7B%22integrationId%22%3A%22KE-web%22%2C%22segment%22%3A%22notEmpty%22%2C%22segmentKey%22%3A%22ke-corp-segment%22%2C%22hasFeatureSegment%22%3Atrue%7D&ts=31.01.2023%2012%3A25%3A15%20GMT%2B03%3A00&id=70&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2FAllForms%2Fnew_forms%2Fnew_candyform.aspx%3Fgfv%3D113104%26abonId%3D577100cf-a2c9-482e-918b-ad59e9497651%26userId%3D577100cf-a2c9-482e-918b-ad59e9497651%26orgId%3D03f93c7c-2265-4215-b86f-bf0e17e60035%26keDraftId%3D577100cf-a2c9-482e-918b-ad59e9497651__4b4242a2-b528-4882-8c60-f7715e39d363%26externalInitSectionPath%3D%26source%3D&urlref=https%3A%2F%2Fextern.kontur.ru%2Freact%2Findex%2F&ei=28&vs=0&vt=4346&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 09:23:57.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,663,225,,"https://metrika.kontur.ru/track-event?c=keweb-auto&a=-&fp=73f522a52ff8656da6bcd42b672988dc&cv=%7B%22own_class%22%3A%22css-12rnk2d%20e8ri1bb1%22%2C%22own_tid%22%3A%22%22%2C%22id%22%3A%22%22%2C%22class%22%3A%22%22%2C%22tid%22%3A%22%22%2C%22text%22%3A%22%22%7D&ts=31.01.2023%2012%3A23%3A57%20GMT%2B03%3A00&id=3&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2FAllForms%2Fnew_forms%2Fnew_candyform.aspx%3Fgfv%3D113104%26abonId%3D577100cf-a2c9-482e-918b-ad59e9497651%26userId%3D577100cf-a2c9-482e-918b-ad59e9497651%26orgId%3D03f93c7c-2265-4215-b86f-bf0e17e60035%26keDraftId%3D577100cf-a2c9-482e-918b-ad59e9497651__4b4242a2-b528-4882-8c60-f7715e39d363%26externalInitSectionPath%3D%26source%3D%23%2F&urlref=https%3A%2F%2Fextern.kontur.ru%2Freact%2Findex%2F&ei=254&vs=1&vt=4289&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 09:23:57.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,751,223,,"https://metrika.kontur.ru/track-event?c=candy&a=helptooltipShow&fp=73f522a52ff8656da6bcd42b672988dc&l=options&cv=%7B%22gfv%22%3A%22113104%22%2C%22trigger%22%3A%22hover%22%2C%22for%22%3A%22%D0%A4%D0%B0%D0%B9%D0%BB%2F%D0%94%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%2F%D0%9D%D0%94%D0%A4%D0%9B6.2%2F%D0%A0%D0%B0%D1%81%D1%87%D0%A1%D1%83%D0%BC%D0%9D%D0%B0%D0%BB%2F*%22%7D&ts=31.01.2023%2012%3A23%3A57%20GMT%2B03%3A00&id=3&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2FAllForms%2Fnew_forms%2Fnew_candyform.aspx%3Fgfv%3D113104%26abonId%3D577100cf-a2c9-482e-918b-ad59e9497651%26userId%3D577100cf-a2c9-482e-918b-ad59e9497651%26orgId%3D03f93c7c-2265-4215-b86f-bf0e17e60035%26keDraftId%3D577100cf-a2c9-482e-918b-ad59e9497651__4b4242a2-b528-4882-8c60-f7715e39d363%26externalInitSectionPath%3D%26source%3D%23%2F&urlref=https%3A%2F%2Fextern.kontur.ru%2Freact%2Findex%2F&ei=256&vs=1&vt=4290&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 09:23:57.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,605,222,,"https://metrika.kontur.ru/track-event?c=candy&a=unitMenuClick&fp=73f522a52ff8656da6bcd42b672988dc&l=options&cv=%7B%22gfv%22%3A%22113104%22%2C%22unit%22%3A%22razdel2-1%22%7D&ts=31.01.2023%2012%3A23%3A57%20GMT%2B03%3A00&id=3&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2FAllForms%2Fnew_forms%2Fnew_candyform.aspx%3Fgfv%3D113104%26abonId%3D577100cf-a2c9-482e-918b-ad59e9497651%26userId%3D577100cf-a2c9-482e-918b-ad59e9497651%26orgId%3D03f93c7c-2265-4215-b86f-bf0e17e60035%26keDraftId%3D577100cf-a2c9-482e-918b-ad59e9497651__4b4242a2-b528-4882-8c60-f7715e39d363%26externalInitSectionPath%3D%26source%3D%23%2F&urlref=https%3A%2F%2Fextern.kontur.ru%2Freact%2Findex%2F&ei=255&vs=1&vt=4290&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 08:12:36.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,71,"3,092",,"https://firefox-settings-attachments.cdn.mozilla.net/staging/addons-bloomfilters/8038652a-6557-460a-858c-84f19a5a0987.bin"
"Jan 17, 2021 @ 08:12:36.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,71,"3,092",,"https://firefox-settings-attachments.cdn.mozilla.net/staging/addons-bloomfilters/8038652a-6557-460a-858c-84f19a5a0987.bin"
"Jan 17, 2021 @ 08:12:35.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,258,"21,313","application/json","https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0"
"Jan 17, 2021 @ 08:11:39.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"2,365","5,755",,"api.kontur.ru:443"
"Jan 17, 2021 @ 08:06:36.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,292,"5,645","binary/octet-stream","https://content-signature-2.cdn.mozilla.net/chains/normandy.content-signature.mozilla.org-2023-02-28-18-04-18.chain?cachebust=2017-06-13-21-06"
"Jan 17, 2021 @ 08:06:36.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,239,230,"application/json","https://classify-client.services.mozilla.com/api/v1/classify_client/"
"Jan 17, 2021 @ 08:06:35.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,221,"1,022","application/json","https://normandy.cdn.mozilla.net/api/v1/"
"Jan 17, 2021 @ 07:58:42.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"6,446","36,057",,"api.kontur.ru:443"
"Jan 17, 2021 @ 07:56:03.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,"63,196","1,796,786",,"api.kontur.ru:443"
"Jan 17, 2021 @ 07:55:25.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,392,225,,"https://metrika.kontur.ru/track-event?c=state&a=stopPolling&fp=73f522a52ff8656da6bcd42b672988dc&cv=%7B%22integrationId%22%3A%22KE-web%22%2C%22segment%22%3A%22notEmpty%22%2C%22segmentKey%22%3A%22ke-corp-segment%22%2C%22hasFeatureSegment%22%3Atrue%7D&ts=31.01.2023%2010%3A55%3A25%20GMT%2B03%3A00&id=70&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2F&urlref=&ei=24&vs=0&vt=39&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 07:54:41.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,204,GET,761,223,,"https://metrika.kontur.ru/track-event?c=candy&a=helptooltipShow&fp=73f522a52ff8656da6bcd42b672988dc&l=options&cv=%7B%22gfv%22%3A%22113104%22%2C%22trigger%22%3A%22hover%22%2C%22for%22%3A%22%D0%A4%D0%B0%D0%B9%D0%BB%2F%D0%94%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%2F%D0%9D%D0%94%D0%A4%D0%9B6.2%2F%D0%A0%D0%B0%D1%81%D1%87%D0%A1%D1%83%D0%BC%D0%9D%D0%B0%D0%BB%2F*%22%7D&ts=31.01.2023%2010%3A54%3A41%20GMT%2B03%3A00&id=3&rw=1536&rh=864&biw=1536&bih=713&bow=1550&boh=840&url=https%3A%2F%2Fextern.kontur.ru%2FAllForms%2Fnew_forms%2Fnew_candyform.aspx%3Fgfv%3D113104%26abonId%3D577100cf-a2c9-482e-918b-ad59e9497651%26userId%3D577100cf-a2c9-482e-918b-ad59e9497651%26orgId%3D03f93c7c-2265-4215-b86f-bf0e17e60035%26keDraftId%3D577100cf-a2c9-482e-918b-ad59e9497651__4b4242a2-b528-4882-8c60-f7715e39d363%26externalInitSectionPath%3D%26source%3D%23%2F&urlref=https%3A%2F%2Fextern.kontur.ru%2Freact%2Findex%2F&ei=242&vs=1&vt=2&tabid=39ydX6&ut=direct&ver=2.4.9"
"Jan 17, 2021 @ 14:09:44.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,632,"26,077",text/html,https://service.nalog.ru/addrno.do
"Jan 17, 2021 @ 14:06:17.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,63,"1,253",text/javascript,https://data.nalog.ru/js/ul2018/vendor/jquery.highlight.js?ver=2.0.0.15775
"Jan 17, 2021 @ 14:06:17.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,50,"40,136",text/javascript,https://data.nalog.ru/js/ul2018/script.js?ver=2.0.0.15775
"Jan 17, 2021 @ 14:06:17.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,52,"7,355",text/javascript,https://data.nalog.ru/js/ul2018/script_me.js?ver=2.0.0.15775
"Jan 17, 2021 @ 09:45:52.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"9,223","3,195",,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Jan 17, 2021 @ 13:29:52.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,372,729,text/plain,https://yandex.ru/maps/prefetch.txt
"Jan 17, 2021 @ 13:29:20.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"9,223","3,195",,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Jan 17, 2021 @ 15:10:20.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,m1p.ru:443
"Jan 17, 2021 @ 15:10:20.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,maot.ru:443
"Jan 17, 2021 @ 15:35:27.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,708,"30,792",text/html,https://www.audit-it.ru/articles/account/p954665.html
"Jan 17, 2021 @ 15:31:11.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,500,CONNECT,0,0,,px.ads.linkedin.com:443
"Jan 17, 2021 @ 15:21:42.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,500,CONNECT,0,"2,940",,mitdmp.whiteboxdigital.ru:443
"Jan 17, 2021 @ 15:21:42.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,500,CONNECT,0,"2,940",,mitdmp.whiteboxdigital.ru:443
"Jan 10, 2023 @ 14:22:54.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,"1,116","448,979",text/html,https://yandex.ru/search/?msid=1673360566151313-13264044229869466480-vla1-3880-vla-l7-balancer-8080-BAL-4032&text=%D0%BF%D1%83%D0%BD%D0%BA%D1%82%D1%83%203.1%20%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B8%20214%20%D0%9D%D0%9A%20%D0%A0%D0%A4%20&rdrnd=293100&lr=213&redircnt=1673360573.1
"Jan 17, 2021 @ 13:08:06.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"9,223","3,195",,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Jan 17, 2021 @ 11:30:21.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,CONNECT,0,0,,read.sendsay.ru:443
